ID,备注【排版要把字体改为黑体】,对应界面（策划内部看的）,简中,英语,日语
id,comments,scene,sc,en,jp
NetworkBusy,,,网络繁忙，请稍后重试。,The network is busy. Please try again later.,ネットワークがビジー状態で、少し時間をおいて再度お試しください。
Unlocked,,"BikeScene.scene.json
HomeScene.scene.json",未解锁,Unlocked,アンロックしていません。
Enable,,"HomeScene.scene.json
ShopScene.scene.json",可选择,Enable,選択可能
Select,,BikeScene.scene.json,可选择,Select,選択可能
Selected,,HomeScene.scene.json,已选择,Selected,選択済み
LV,,BikeScene.scene.json,等级,LV,レベル
Unlock,,DrawScene.scene.json,恭喜骑士大人解锁自行车,Unlock,アンロックしていました。
LvUp,,DrawScene.scene.json,恭喜骑士大人等级提升,LV UP,レベル　アップ
Free,,"DrawScene.scene.json
GameOverScene.scene.json",免费,Free,無料
Draw,,DrawScene.scene.json,幸运扭蛋,Draw,くじ引き
Reborn,,GameOverScene.scene.json,复活,Reborn,復活
ResurrectionPosition,,GameScene.scene.json,可上下移动，选择复活位置哦,Sliding Up and Down to Adjust Resurrection Position,上や下に移動して復活の位置を調整することができます。
ShowUI,,HomeScene.scene.json,显示界面,ShowUI,画面が表示されます。
HideUI,,HomeScene.scene.json,隐藏界面,HideUI,画面が隠されます。
StartRemove,,HomeScene.scene.json,开启删除模式,StartRemove,「削除」モード　オン
EndRemove,,HomeScene.scene.json,关闭删除模式,EndRemove,「削除」モード　オフ
RemoveAll,,HomeScene.scene.json,清空数据,RemoveAll,全部リセット
TotalDistance,,RankScene.scene.json,累计里程,Total Distance,累計のマイレージ
FarthestDistance,,RankScene.scene.json,最远里程,Farthest Distance,最長の距離
Score,,RankScene.scene.json,积分,Score,ポイント
Now,,RankScene.scene.json,当前排行,Now,現在のランキング
LastTime,,RankScene.scene.json,上次排行,Last Time,前回のランキング
MyRank,,RankScene.scene.json,【骑士大人当前的排行】,My Rank,自分のランク
Purchased,,ShopScene.scene.json,已拥有,Purchased,持っているもの
Confirm,,TipScene.scene.json,确认,Confirm,確認
RequestingRankData,,RankScene.scene.json,排行榜数据加载中,Requesting rank data,
NotListed,,RankScene.scene.json,"差一点就上榜啦
骑士大人加油啊",Not Listed,
RestartAfterTime,,RankScene.scene.json,在 ${time} 之后重新开始,Restart after ${time},
UnlockAllBike,,ShopScene.scene.json,解锁所有的自行车,Unlock All Bike,
UnlockAllEndlessScene,,ShopScene.scene.json,解锁所有的无尽旅程地图,Unlock All Endless Scene,
Money2DCPresentDsc,,ShopScene.scene.json,"${money} 钱
= ${diamond} 钻石 + ${coin} 金币","${money} Money
= ${diamond} Diamond + ${coin} Gold Coins",
Present,,ShopScene.scene.json,礼物,Present,
Money,,ShopScene.scene.json,财宝,Money,
Map,,ShopScene.scene.json,地图,Map,
Diamond,,,钻石,Diamond,
Coin,,,金币,Gold Coin,
DiamondIsNotEnough,,ShopScene.scene.json,钻石不足！,Diamond is not enough!,
TotalDistanceReach,,ShopScene.scene.json,总里程达到 ${distance}m 可免费解锁哟,Total distance reached ${distance}m,
Backgrounds,,HomeScene.scene.json,背景,Backgrounds,
Floors,,HomeScene.scene.json,地面,Floors,
Spoils,,HomeScene.scene.json,战利品,Spoils,
Pets,,HomeScene.scene.json,宠物,Pets,
Distance,,,里程,Distance,
ConfirmDeleteHomeItem,,HomeScene.scene.json,您确定要删除该装饰吗？,Are you sure you want to delete this item?,
ConfirmDeleteAllHomeItem,,HomeScene.scene.json,您确定要删除所有装饰吗？,Are you sure you want to delete all items?,
ConfirmDeleteAllHomeItemAgain,,HomeScene.scene.json,确实要删除所有装饰吗？,Are you really sure you want to DELETE ALL ITEMS?,
ItemIsAbleToUnlock,,,报告骑士大人，您可以解锁新物品啦！,This item is able to unlock.,
UnlockConditions,,,【解锁条件】,Unlock condition(s):,
UnlockRewards,,,【解锁奖励】,Unlock Reward(s):,
Would you like to cost the following items to unlock this item?,,,您是否想花费以下这些来解锁该物品？,Would you like to cost the following items to unlock this item?,
Cost is not enough!,,,没有足够的金币或钻石！,Cost is not enough!,
This item is locked.,,,该物品未解锁。,This item is locked.,
${0} Gold Coins,,,${0} 金币,${0} Gold Coins,
${0} Diamonds,,,${0} 钻石,${0} Diamonds,
Need to unlock Map: ${0},              ,                                               ,需要解锁地图：${0}                                                                        ,Need to unlock Map: ${0},
Total distance required to reach ${0}m,,,总里程需达 ${0}m,Total distance required to reach ${0}m,
Total farthest distance required to reach ${0}m,,,历史最大里程需达 ${0}m,Total farthest distance required to reach ${0}m,
Score required to reach ${0},,,历史积分需达 ${0},Score required to reach ${0},
Need to rank ${0}st in total distance,,,需闯入历史累计里程排行第${0}名,Need to rank ${0}st in total distance,
Need to rank ${0}st in farthest distance,,,需闯入历史最大里程排行第${0}名,Need to rank ${0}st in farthest distance,
Need to rank ${0}st in score,,,需闯入历史积分排行第${0}名,Need to rank ${0}st in score,
Need to takes ${0} times map game,,,需要进行${0}次排名竞赛,,
Highest Level,,,最高等级,Highest Level,
You have ridden ${distance} meters,,,报告骑士大人，您已骑行${distance}m啦,You have ridden ${distance} meters,
Air,,,空气,Air,
${player} Record: ${record}m,,,报告${player}骑士，您当前纪录：${record}m,${player} Record: ${record}m,
Leveling with the highest record,,,与您的最高纪录持平,Leveling with the highest record,
